dimensao,cliente,valor,valor_desambiguado,taxonomia,aplica_a,significado,aviso,definicao_da_dimensao
uf,,RJ,RJ,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,RN,RN,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,RO,RO,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,RR,RR,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,RS,RS,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,SC,SC,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,SE,SE,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,SP,SP,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
uf,,TO,TO,Unidade da federação,PF e PJ,,,As 27 unidades da federação estão presentes no relatório. A informação segregada por unidades da federação é baseada no CEP de residência das pessoas físicas ou da Sede das pessoas jurídicas.
segmento,,Arrendamento,Arrendamento,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Banco,Banco,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Cooperativa,Cooperativa,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Desenvolvimento/Fomento,Desenvolvimento/Fomento,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Financeira,Financeira,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Fintech,Fintech,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Instituição de pagamento,Instituição de pagamento,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
segmento,,Outros,Outros,Segmento da instituição financeira,PF e PJ,,,Agrupamentos criados a partir do segmento da instituição financeira cadastrado no Banco Central.
cliente,,PF,PF,Tipo de cliente,PF,Pessoas físicas,,"Os tipos de cliente representam agregações dos tipos definidos no Anexo 11 do Leiaute do SCR, e são equivalentes às disponibilizadas no IF.data."
cliente,,PJ,PJ,Tipo de cliente,PJ,Pessoas jurídicas,,"Os tipos de cliente representam agregações dos tipos definidos no Anexo 11 do Leiaute do SCR, e são equivalentes às disponibilizadas no IF.data."
porte,PF,Sem rendimento,PF - Sem rendimento,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Até 1 salário mínimo,PF - Até 1 salário mínimo,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Mais de 1 a 2 salários mínimos,PF - Mais de 1 a 2 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Mais de 2 a 3 salários mínimos,PF - Mais de 2 a 3 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Mais de 3 a 5 salários mínimos,PF - Mais de 3 a 5 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Mais de 5 a 10 salários mínimos,PF - Mais de 5 a 10 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Mais de 10 a 20 salários mínimos,PF - Mais de 10 a 20 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Acima de 20 salários mínimos,PF - Acima de 20 salários mínimos,Faixa de rendimento em salários mínimos,PF,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PJ,Micro,PJ - Micro,Porte da empresa,PJ,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PJ,Pequeno,PJ - Pequeno,Porte da empresa,PJ,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PJ,Médio,PJ - Médio,Porte da empresa,PJ,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PJ,Grande,PJ - Grande,Porte da empresa,PJ,,,"Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PF,Indisponível,PF - Indisponível,Faixa de rendimento em salários mínimos,PF e PJ,,"Único valor compartilhado pelos dois tipos de cliente, e por isso o único em que o rótulo sozinho não diz de qual taxonomia ele vem.","Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
porte,PJ,Indisponível,PJ - Indisponível,Porte da empresa,PF e PJ,,"Único valor compartilhado pelos dois tipos de cliente, e por isso o único em que o rótulo sozinho não diz de qual taxonomia ele vem.","Para pessoa física, faixa de rendimento em salários-mínimos. Para pessoa jurídica, porte da empresa. Os portes representam os definidos nos Anexos 24 e 25 do Leiaute do SCR."
cnae_ocupacao,PF,Servidor ou empregado público,PF - Servidor ou empregado público,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Empregado de entidades sem fins lucrativos,PF - Empregado de entidades sem fins lucrativos,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Empregado de empresa privada,PF - Empregado de empresa privada,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Aposentado/pensionista,PF - Aposentado/pensionista,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Autônomo,PF - Autônomo,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Empresário,PF - Empresário,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,MEI,PF - MEI,Natureza da ocupação,PF,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PF,Outros,PF - Outros,Natureza da ocupação,PF,,"É natureza de ocupação, não seção do CNAE. Não confundir com ""Outras atividades de serviços"", que é a seção S do CNAE e só ocorre em PJ.","Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Administração pública, defesa e seguridade social","PJ - Administração pública, defesa e seguridade social",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Agricultura, pecuária, produção florestal, pesca e aquicultura","PJ - Agricultura, pecuária, produção florestal, pesca e aquicultura",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Alojamento e alimentação,PJ - Alojamento e alimentação,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Artes, cultura, esporte e recreação","PJ - Artes, cultura, esporte e recreação",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Atividades administrativas e serviços complementares,PJ - Atividades administrativas e serviços complementares,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Atividades financeiras, de seguros e serviços relacionados","PJ - Atividades financeiras, de seguros e serviços relacionados",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Atividades imobiliárias,PJ - Atividades imobiliárias,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Atividades profissionais, científicas e técnicas","PJ - Atividades profissionais, científicas e técnicas",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Comércio; reparação de veículos automotores e motocicletas,PJ - Comércio; reparação de veículos automotores e motocicletas,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Construção,PJ - Construção,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Educação,PJ - Educação,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Eletricidade e gás,PJ - Eletricidade e gás,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Indústrias de transformação,PJ - Indústrias de transformação,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Indústrias extrativas,PJ - Indústrias extrativas,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Informação e comunicação,PJ - Informação e comunicação,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Não informados,PJ - Não informados,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Organismos internacionais e outras instituições extraterritoriais,PJ - Organismos internacionais e outras instituições extraterritoriais,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Outras atividades de serviços,PJ - Outras atividades de serviços,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Saúde humana e serviços sociais,PJ - Saúde humana e serviços sociais,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,Serviços domésticos,PJ - Serviços domésticos,Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Transporte, armazenagem e correio","PJ - Transporte, armazenagem e correio",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
cnae_ocupacao,PJ,"Água, esgoto, atividades de gestão de resíduos e descontaminação","PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",Seção do CNAE,PJ,,,"Para as pessoas jurídicas, o campo é preenchido com a Seção (1º nível) do CNAE. Para as pessoas físicas, é preenchido com a natureza da ocupação."
origem,,Sem destinação específica,Sem destinação específica,Origem dos recursos,PF e PJ,,,As origens de recursos apresentadas no relatório representam o primeiro nível de agregação do Anexo 4 do Leiaute do SCR.
origem,,Com destinação específica,Com destinação específica,Origem dos recursos,PF e PJ,,,As origens de recursos apresentadas no relatório representam o primeiro nível de agregação do Anexo 4 do Leiaute do SCR.
indexador,,Prefixado,Prefixado,Indexador da operação,PF e PJ,,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
indexador,,Pós-fixado,Pós-fixado,Indexador da operação,PF e PJ,,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
indexador,,Flutuantes,Flutuantes,Indexador da operação,PF e PJ,,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
indexador,,Índices de preços,Índices de preços,Indexador da operação,PF e PJ,,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
indexador,,TCR/TRFC,TCR/TRFC,Indexador da operação,PF e PJ,Taxas de Juros do Crédito Rural e Taxas de Juros Rurais dos Fundos Constitucionais de Financiamento.,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
indexador,,Outros indexadores,Outros indexadores,Indexador da operação,PF e PJ,,,"Os indexadores apresentados no relatório representam o primeiro nível de agregação do Anexo 5 do Leiaute do SCR, e são equivalentes aos disponibilizados no IF.data."
